term,class
diakui,positif
penghargaan,positif
kecerdasan,positif
kekaguman,positif
mengagumi,positif
pengagum,positif
mengakui,positif
memuja,positif
gesit,positif
tangkas,positif
sanjungan,positif
berguna,positif
ramah,positif
serasi,positif
keramahan,positif
menenangkan,positif
menarik,positif
mahakuasa,positif
menakjubkan,positif
takjub,positif
damai,positif
cinta,positif
menghibur,positif
salut,positif
menghargai,positif
apresiasi,positif
bergairah,positif
semangat,positif
gairah,positif
membangkitkan,positif
tekun,positif
cerdik,positif
rajin,positif
terpesona,positif
cantik,positif
indah,positif
mempercantik,positif
keindahan,positif
cocok,positif
menolong,positif
terpercaya,positif
tercinta,positif
bermanfaat,positif
menguntungkan,positif
kebajikan,positif
terbaik,positif
memberkati,positif
kebahagiaan,positif
bahagia,positif
gembira,positif
membanggakan,positif
berani,positif
keberanian,positif
mendukung,positif
dermawan,positif
cerdas,positif
cemerlang,positif
jujur,positif
keterusterangan,positif
menawan,positif
pesona,positif
riang,positif
merayakan,positif
perayaan,positif
karismatik,positif
apik,positif
suci,positif
dihargai,positif
elok,positif
kesopanan,positif
pintar,positif
molek,positif
memuji,positif
terpuji,positif
pujian,positif
gratis,positif
mendamaikan,positif
memaafkan,positif
yakin,positif
teliti,positif
peka,positif
keteguhan,positif
sempurna,positif
kepuasan,positif
nyaman,positif
benar,positif
sopan,positif
idaman,positif
kreatif,positif
lucu,positif
sayang,positif
gagah,positif
gigih,positif
mempesona,positif
cekatan,positif
lezat,positif
menyenangkan,positif
layak,positif
pemuja,positif
kesetiaan,positif
bermartabat,positif
martabat,positif
terhormat,positif
ilahi,positif
kesungguhan,positif
kegembiraan,positif
keanggunan,positif
anggun,positif
elegan,positif
fasih,positif
memperindah,positif
keunggulan,positif
nikmat,positif
kenikmatan,positif
memuliakan,positif
memikat,positif
antusiasme,positif
penggemar,positif
antusias,positif
mengagumkan,positif
terpelajar,positif
etis,positif
kekal,positif
agung,positif
unggul,positif
mulia,positif
meriangkan,positif
menggembirakan,positif
tepat,positif
fantastis,positif
modern,positif
favorit,positif
membahagiakan,positif
keademan,positif
bergembira,positif
halus,positif
menyanjung,positif
subur,positif
menyukai,positif
kesukaan,positif
diampuni,positif
pengampunan,positif
ketabahan,positif
beruntung,positif
untung,positif
harum,positif
kesenangan,positif
keriangan,positif
berlaba,positif
berbakat,positif
senang,positif
kebaikan,positif
rahmat,positif
keagungan,positif
syukur,positif
memuaskan,positif
menyapa,positif
tenang,positif
sehat,positif
tampan,positif
rindu,positif
harmonis,positif
menyelaraskan,positif
tulus,positif
surgawi,positif
pahlawan,positif
heroik,positif
srikandi,positif
ria,positif
meriah,positif
penghormatan,positif
menghormati,positif
harapan,positif
kelucuan,positif
bercanda,positif
mengidolakan,positif
termasyhur,positif
rapi,positif
impresif,positif
mengesankan,positif
terampil,positif
kecerdikan,positif
manis,positif
berwawasan,positif
inspirasi,positif
inspirasional,positif
integritas,positif
menariknya,positif
menyegarkan,positif
bergurau,positif
periang,positif
sukacita,positif
bijaksana,positif
adil,positif
kebebasan,positif
lincah,positif
luhur,positif
kecantikan,positif
keberuntungan,positif
kilau,positif
megah,positif
keajaiban,positif
lembut,positif
penyayang,positif
kuat,positif
mukjizat,positif
termotivasi,positif
bagus,positif
baik,positif
ketaatan,positif
taat,positif
patuh,positif
mentaati,positif
oke,positif
optimisme,positif
mengalahkan,positif
telaten,positif
enak,positif
kesabaran,positif
sabar,positif
patriotik,positif
kesempurnaan,positif
ketekunan,positif
bertekun,positif
fenomenal,positif
saleh,positif
puitis,positif
positif,positif
ampuh,positif
istimewa,positif
hadiah,positif
cakap,positif
mahir,positif
menjanjikan,positif
mujur,positif
bangga,positif
kecakapan,positif
asyik,positif
direkomendasikan,positif
segar,positif
menikmati,positif
kemasyhuran,positif
bertobat,positif
tobat,positif
pandai,positif
hormat,positif
pahala,positif
kebenaran,positif
romantis,positif
kebijaksanaan,positif
kesucian,positif
menghormat,positif
keselamatan,positif
optimis,positif
mulus,positif
sensasional,positif
ketenangan,positif
berkilauan,positif
kesederhanaan,positif
terpintar,positif
tersenyum,positif
supel,positif
perhatian,positif
spektakuler,positif
memukau,positif
hebat,positif
kemegahan,positif
bersih,positif
sigap,positif
setia,positif
tabah,positif
giat,positif
keuletan,positif
berterimakasih,positif
kebersamaan,positif
kemenangan,positif
kepercayaan,positif
bersahaja,positif
berharga,positif
bersemangat,positif
berseri,positif
visioner,positif
jenaka,positif
kelayakan,positif
karisma,positif
menasihati,positif
bermoral,positif
tawa,positif
teduh,positif
simpati,positif
menyantuni,positif
pedih,negatif
masam,negatif
memalukan,negatif
membenci,negatif
kebencian,negatif
mengerikan,negatif
kasar,negatif
pelupa,negatif
penyalahgunaan,negatif
neraka,negatif
terkutuk,negatif
menuduh,negatif
memarahkan,negatif
sakit,negatif
busuk,negatif
memalsukan,negatif
dipalsukan,negatif
pemalsuan,negatif
kesulitan,negatif
memperburuk,negatif
kejengkelan,negatif
tersinggung,negatif
gelisah,negatif
penderitaan,negatif
menderita,negatif
menyiksa,negatif
kesakitan,negatif
khawatir,negatif
menggelisahkan,negatif
mengkhawatirkan,negatif
mengasingkan,negatif
anarkisme,negatif
anarkis,negatif
anarkistis,negatif
anarki,negatif
marah,negatif
membinasakan,negatif
penghancuran,negatif
mengganggu,negatif
keusilan,negatif
kesal,negatif
antagonisme,negatif
bermusuhan,negatif
antipati,negatif
kecemasan,negatif
kegelisahan,negatif
sulit,negatif
kecongkakan,negatif
licik,negatif
bodoh,negatif
umpatan,negatif
pembunuh,negatif
kekejaman,negatif
ketamakan,negatif
tamak,negatif
permusuhan,negatif
fitnah,negatif
terbelakang,negatif
keterbelakangan,negatif
kutukan,negatif
biadab,negatif
mandul,negatif
jijik,negatif
mengotorkan,negatif
membodohkan,negatif
meremehkan,negatif
meratapi,negatif
mencaci,negatif
amuk,negatif
menodai,negatif
bengis,negatif
mengkhianati,negatif
pengkhianatan,negatif
pengkhianat,negatif
menyihir,negatif
cekcok,negatif
bertengkar,negatif
sombong,negatif
menggerutu,negatif
pahit,negatif
getir,negatif
kepahitan,negatif
tercela,negatif
mengutuk,negatif
pemfitnahan,negatif
jahanam,negatif
suram,negatif
muram,negatif
blunder,negatif
merusakkan,negatif
sok,negatif
perbudakan,negatif
membosankan,negatif
kebosanan,negatif
merusak,negatif
dirusak,negatif
menyusahkan,negatif
kekurangajaran,negatif
kesombongan,negatif
kebrutalan,negatif
membengisi,negatif
brutal,negatif
gelandangan,negatif
ceroboh,negatif
bencana,negatif
mempergunjingkan,negatif
umpat,negatif
kanibal,negatif
mencopoti,negatif
ketidakteraturan,negatif
kecerobohan,negatif
menghukum,negatif
ketus,negatif
dongkol,negatif
kekacauan,negatif
semrawut,negatif
menghajar,negatif
siksa,negatif
pembual,negatif
penipu,negatif
kecurangan,negatif
murahan,negatif
cerewet,negatif
rewel,negatif
klise,negatif
memaksa,negatif
paksaan,negatif
mengeluh,negatif
keluhan,negatif
penghukuman,negatif
sembelit,negatif
penghinaan,negatif
melanggar,negatif
korupsi,negatif
pengecut,negatif
ngambek,negatif
penakut,negatif
menggila,negatif
kegilaan,negatif
menyeramkan,negatif
dungu,negatif
melumpuhkan,negatif
penjahat,negatif
kejam,negatif
menangis,negatif
menyumpahi,negatif
sinis,negatif
sinisme,negatif
rusak,negatif
berbahaya,negatif
pecundang,negatif
kehinaan,negatif
melacurkan,negatif
penyelewengan,negatif
penipuan,negatif
culas,negatif
menipu,negatif
penyesat,negatif
memfitnah,negatif
cacat,negatif
mengotori,negatif
degradasi,negatif
menurunkan,negatif
menghinakan,negatif
dehumanisasi,negatif
sedih,negatif
kekesalan,negatif
terlambat,negatif
setan,negatif
mengacaukan,negatif
demoralisasi,negatif
penyangkalan,negatif
memburukkan,negatif
mencela,negatif
menyesalkan,negatif
murung,negatif
depresi,negatif
mengejek,negatif
ejekan,negatif
kesedihan,negatif
keputusasaan,negatif
merampas,negatif
kemurungan,negatif
penganiaya,negatif
lalim,negatif
kemelaratan,negatif
destruktif,negatif
benci,negatif
kerugian,negatif
menghancurkan,negatif
hancur,negatif
meluluhkan,negatif
nakal,negatif
kelicikan,negatif
kejamnya,negatif
cacian,negatif
kecaman,negatif
ngelantur,negatif
bobrok,negatif
kotor,negatif
menyelisihkan,negatif
mungkir,negatif
berselisih,negatif
melarang,negatif
mengecewakan,negatif
kecewa,negatif
celaan,negatif
mengingkari,negatif
pengingkaran,negatif
ketidakpercayaan,negatif
kafir,negatif
perselisihan,negatif
perpecahan,negatif
sumbang,negatif
diskriminatif,negatif
ketidakkasihan,negatif
ternoda,negatif
menjijikkan,negatif
kusut,negatif
ketidakjujuran,negatif
hina,negatif
keseganan,negatif
ketidaksetiaan,negatif
acuh,negatif
pembangkangan,negatif
bandel,negatif
kacaukan,negatif
menyedihkan,negatif
direbut,negatif
jelek,negatif
keburukan,negatif
cabul,negatif
kiamat,negatif
pemabuk,negatif
tiruan,negatif
kelancangan,negatif
egosentris,negatif
egotisme,negatif
egois,negatif
mengebiri,negatif
kejengahan,negatif
menengkarkan,negatif
tengkar,negatif
emosional,negatif
memperbudak,negatif
jebakan,negatif
iri,negatif
khilaf,negatif
keliru,negatif
membencikan,negatif
mencoreng,negatif
pemerasan,negatif
pemborosan,negatif
boros,negatif
kegagalan,negatif
durhaka,negatif
dusta,negatif
palsu,negatif
kelaparan,negatif
fanatik,negatif
fanatisme,negatif
fasis,negatif
kedunguan,negatif
kesalahan,negatif
lemah,negatif
ganas,negatif
ganasnya,negatif
keganasan,negatif
pembohong,negatif
iblis,negatif
lesu,negatif
mencemoohkan,negatif
musuh,negatif
pengap,negatif
kebodohan,negatif
terlarang,negatif
kekotoran,negatif
cengeng,negatif
letih,negatif
resah,negatif
sialan,negatif
frustrasi,negatif
geram,negatif
kemarahan,negatif
bual,negatif
pusing,negatif
kesuraman,negatif
muluk,negatif
keserakahan,negatif
serakah,negatif
bersedih,negatif
meringis,negatif
penggerutu,negatif
menggeram,negatif
dendam,negatif
ngomel,negatif
perampas,negatif
kerumitan,negatif
pembenci,negatif
angkuh,negatif
malapetaka,negatif
pilu,negatif
hedonistik,negatif
hegemoni,negatif
sesat,negatif
keputusasan,negatif
kengerian,negatif
pemberang,negatif
pemarah,negatif
keangkuhan,negatif
menyakiti,negatif
kemunafikan,negatif
munafik,negatif
idiot,negatif
aib,negatif
disalahpahami,negatif
dianiaya,negatif
keruwetan,negatif
imitasi,negatif
ketidaksusilaan,negatif
ketidaksabaran,negatif
miskin,negatif
mustahil,negatif
menyumpah,negatif
ketidakmungkinan,negatif
mesum,negatif
ketidakpantasan,negatif
kelalaian,negatif
lalai,negatif
lancang,negatif
najis,negatif
kenajisan,negatif
leha,negatif
sial,negatif
ketidaksopanan,negatif
buruk,negatif
ketidaklogisan,negatif
kacau,negatif
anehnya,negatif
ngawur,negatif
inkonsistensi,negatif
salah,negatif
ketidaksenonohan,negatif
ketidakacuhan,negatif
ketidakbijaksanaan,negatif
sembarangan,negatif
malas,negatif
janggal,negatif
inferioritas,negatif
celaka,negatif
meradang,negatif
pelanggaran,negatif
kebiadaban,negatif
kelaliman,negatif
gegabah,negatif
ketidaktulusan,negatif
menyindir,negatif
bangkrut,negatif
menghasut,negatif
penghasut,negatif
terhina,negatif
mengintimidasi,negatif
ketidakabsahan,negatif
makian,negatif
menjengkelkan,negatif
ketidakrelevanan,negatif
jengkel,negatif
cemburu,negatif
kecemburuan,negatif
mencemooh,negatif
bahaya,negatif
loyo,negatif
mencerca,negatif
merana,negatif
kelesuan,negatif
kecabulan,negatif
lemas,negatif
lebam,negatif
kesepian,negatif
menjarah,negatif
malang,negatif
kalah,negatif
curang,negatif
seram,negatif
mengintai,negatif
bohong,negatif
jahat,negatif
kedengkian,negatif
dengki,negatif
mengoyakkan,negatif
manipulatif,negatif
pembantaian,negatif
mengancam,negatif
berdusta,negatif
kesalahpahaman,negatif
bajingan,negatif
penyesatan,negatif
kesengsaraan,negatif
kikir,negatif
kemalangan,negatif
menyalahgunakan,negatif
kecelakaan,negatif
menyesatkan,negatif
menganiaya,negatif
penganiayaan,negatif
pengumpatan,negatif
mengomel,negatif
omelan,negatif
naif,negatif
melarat,negatif
negatif,negatif
terlantar,negatif
gugup,negatif
kegugupan,negatif
obsesif,negatif
menyinggung,negatif
menindas,negatif
bengal,negatif
usang,negatif
basi,negatif
menyakitkan,negatif
remeh,negatif
panik,negatif
pelit,negatif
mengesalkan,negatif
berkhianat,negatif
binasa,negatif
mengusik,negatif
pemutarbalikan,negatif
kejahatan,negatif
pesimisme,negatif
pesimistis,negatif
pesimis,negatif
penjarahan,negatif
penjarah,negatif
mencibir,negatif
kemiskinan,negatif
berbual,negatif
mengendapkan,negatif
berbohong,negatif
mempropagandakan,negatif
kegarangan,negatif
pertengkaran,negatif
radikal,negatif
mengamuk,negatif
keingkaran,negatif
dicerca,negatif
gusar,negatif
sampah,negatif
mengumalkan,negatif
sabotase,negatif
sarkasme,negatif
sarkastik,negatif
liar,negatif
skandal,negatif
cemooh,negatif
cemberut,negatif
keji,negatif
lusuh,negatif
egoisme,negatif
pikun,negatif
melalaikan,negatif
pelalaian,negatif
kekurangan,negatif
picik,negatif
kepicikan,negatif
berdosa,negatif
skeptis,negatif
pemfitnah,negatif
fitnahan,negatif
menampar,negatif
jorok,negatif
kemalasan,negatif
lamban,negatif
cercaan,negatif
berbau,negatif
ingusan,negatif
memburuk,negatif
pendendam,negatif
bau,negatif
ribut,negatif
stres,negatif
kerdil,negatif
kedangkalan,negatif
takhyul,negatif
bertakhyul,negatif
mencemari,negatif
tercemar,negatif
kemurkaan,negatif
teror,negatif
kesembronoan,negatif
mencekik,negatif
lelah,negatif
melelahkan,negatif
tersiksa,negatif
mengumpat,negatif
tragis,negatif
khianat,negatif
traumatis,negatif
trauma,negatif
sepele,negatif
susah,negatif
rusuh,negatif
bergolak,negatif
sinting,negatif
menduakan,negatif
ketidakbahagiaan,negatif
binal,negatif
berdendam,negatif
berbisa,negatif
sengit,negatif
menjelekkan,negatif
duka,negatif
pencemas,negatif
luka,negatif
melukai,negatif
murka,negatif
